Energy(meas),Scan1
1482.95,222
1483.52,155
1482.29,153
1482.29,116
1481.0,126
1481.05,107
1481.02,88
1479.81,110
1479.85,149
1478.56,132
1478.55,121
1477.41,129
1477.37,162
1477.39,109
1476.18,126
1476.14,137
1474.99,105
1475.02,124
1474.98,111
1473.76,139
1473.76,125
1472.54,135
1472.58,114
1472.6,102
1471.36,124
1471.38,152
1470.18,123
1470.15,128
1468.95,111
1468.96,107
1468.92,121
1467.75,153
1467.75,113
1466.53,116
1466.54,127
1466.53,128
1465.31,119
1465.34,142
1464.11,85
1464.1,123
1464.13,120
1462.93,134
1462.9,95
1461.74,86
1461.7,121
1461.7,106
1460.5,128
1460.48,129
1459.27,166
1459.3,123
1458.05,152
1458.05,118
1458.11,110
1456.86,151
1456.89,116
1455.69,122
1455.68,161
1455.68,94
1454.52,140
1454.49,134
1453.25,134
1453.27,125
1453.24,132
1452.09,103
1452.1,122
1450.83,112
1450.86,147
1450.88,148
1449.67,109
1449.7,138
1448.45,126
1448.44,137
1447.25,128
1447.25,132
1447.25,124
1446.01,163
1446.01,115
1444.83,124
1444.85,110
1444.85,122
1443.6,93
1443.63,149
1442.45,116
1442.45,121
1442.46,141
1441.22,124
1441.19,133
1440.04,126
1440.01,134
1440.0,104
1438.77,124
1438.77,133
1437.6,138
1437.62,124
1436.38,138
1436.39,130
1436.41,132
1435.21,127
1435.22,127
1433.96,159
1433.96,143
1433.96,117
1432.81,109
1432.77,139
1431.55,101
1431.54,150
1431.53,115
1430.37,155
1430.38,121
1429.11,107
1429.14,152
1427.94,126
1427.93,139
1427.96,128
1426.68,112
1426.71,116
1425.55,131
1425.51,154
1425.53,147
1424.34,108
1424.31,129
1423.15,153
1423.17,125
1423.13,118
1421.94,108
1421.93,122
1420.83,120
1420.86,135
1420.87,103
1419.64,111
1419.68,145
1418.53,140
1418.51,99
1417.39,120
1417.37,117
1417.37,143
1416.19,146
1416.17,128
1415.1,163
1415.14,109
1415.08,111
1413.9,145
1413.92,137
1412.74,115
1412.76,166
1412.74,153
1411.5,171
1411.53,100
1410.31,142
1410.29,128
1410.32,136
1409.08,166
1409.06,124
1407.89,110
1407.86,129
1406.6,133
1406.63,130
1406.59,126
1405.44,133
1405.45,135
1404.18,126
1404.19,121
1404.19,121
1402.92,183
1402.97,125
1401.72,153
1401.7,174
1401.73,157
1400.52,109
1400.51,122
1399.3,118
1399.31,125
1399.29,126
1398.11,105
1398.1,151
1396.88,151
1396.9,131
1395.69,117
1395.68,135
1395.7,168
1394.51,139
1394.47,132
1393.31,127
1393.29,142
1393.26,149
1392.11,122
1392.11,118
1390.88,132
1390.91,121
1390.88,134
1389.68,161
1389.69,128
1388.47,113
1388.48,132
1387.3,141
1387.25,123
1387.29,166
1386.08,111
1386.07,178
1384.92,110
1384.88,128
1384.89,122
1383.67,154
1383.63,121
1382.44,111
1382.49,129
1382.45,144
1381.21,136
1381.24,130
1380.04,149
1380.03,150
1380.07,145
1378.83,146
1378.82,113
1377.64,137
1377.62,114
1376.44,149
1376.44,151
1376.39,130
1375.21,109
1375.23,143
1373.97,143
1374.01,125
1373.99,146
1372.8,156
1372.83,158
1371.6,156
1371.6,145
1371.61,131
1370.4,154
1370.37,133
1369.2,137
1369.17,141
1369.19,140
1367.96,131
1367.92,152
1366.79,163
1366.78,113
1365.53,123
1365.57,124
1365.54,145
1364.38,136
1364.42,115
1363.14,162
1363.12,165
1363.14,135
1361.91,153
1361.91,162
1360.71,143
1360.68,144
1360.7,111
1359.52,153
1359.5,154
1358.32,148
1358.33,141
1358.3,135
1357.1,127
1357.08,124
1355.87,140
1355.9,135
1354.71,134
1354.7,134
1354.73,146
1353.48,181
1353.5,143
1352.31,142
1352.28,165
1352.3,148
1351.09,171
1351.06,131
1349.89,129
1349.88,145
1349.87,130
1348.7,147
1348.67,133
1347.5,144
1347.52,144
1347.5,161
1346.28,142
1346.28,117
1345.06,161
1345.1,137
1343.86,159
1343.84,157
1343.85,155
1342.63,161
1342.58,140
1341.38,177
1341.37,134
1341.35,147
1340.18,116
1340.17,132
1338.94,136
1338.95,144
1338.94,165
1337.76,147
1337.77,156
1336.48,142
1336.52,138
1335.31,155
1335.3,162
1335.34,159
1334.1,152
1334.1,157
1332.91,163
1332.91,143
1332.89,156
1331.71,150
1331.69,124
1330.45,153
1330.46,134
1330.41,112
1329.24,184
1329.23,117
1328.01,163
1328.05,154
1328.02,156
1326.8,199
1326.8,179
1325.61,148
1325.62,184
1324.35,197
1324.33,133
1324.33,155
1323.12,152
1323.1,143
1321.89,149
1321.91,116
1321.87,145
1320.69,156
1320.69,160
1319.49,138
1319.5,124
1319.49,157
1318.29,160
1318.32,107
1317.11,163
1317.1,142
1317.1,128
1315.88,126
1315.91,168
1314.71,160
1314.7,133
1313.5,155
1313.49,139
1313.48,133
1312.32,120
1312.32,115
1311.09,149
1311.13,147
1311.12,160
1309.87,169
1309.9,162
1308.71,166
1308.7,154
1308.73,137
1307.5,143
1307.51,134
1306.32,116
1306.3,143
1306.29,151
1305.12,131
1305.11,153
1303.86,118
1303.87,151
1302.65,119
1302.67,132
1302.68,161
1301.44,152
1301.48,148
1300.28,170
1300.27,149
1300.31,142
1299.05,157
1299.04,134
1297.86,162
1297.83,154
1297.85,168
1296.64,135
1296.62,136
1295.47,150
1295.47,152
1294.21,190
1294.25,135
1294.23,156
1293.04,151
1293.09,123
1291.8,124
1291.8,169
1291.84,160
1290.63,98
1290.66,158
1289.45,136
1289.42,139
1289.41,176
1288.26,141
1288.23,145
1287.01,139
1287.02,147
1286.99,145
1285.82,129
1285.82,143
1284.56,140
1284.59,135
1283.38,134
1283.37,142
1283.41,143
1282.17,138
1282.15,133
1281.02,151
1280.99,143
1280.99,136
1279.78,136
1279.77,169
1278.6,129
1278.63,143
1278.6,150
1277.37,142
1277.37,139
1276.21,173
1276.22,134
1276.21,129
1274.93,149
1274.98,152
1273.77,160
1273.74,166
1272.56,119
1272.54,128
1272.54,167
1271.41,159
1271.38,146
1270.17,162
1270.2,166
1270.18,157
1268.97,139
1268.98,131
1267.76,156
1267.72,137
1267.77,168
1266.6,150
1266.58,159
1265.4,150
1265.38,120
1265.39,149
1264.31,198
1264.28,123
1263.09,124
1263.1,170
1261.93,136
1261.93,187
1261.93,158
1260.77,160
1260.8,142
1259.61,151
1259.57,187
1259.6,152
1258.5,142
1258.46,155
1257.33,163
1257.33,146
1257.33,159
1256.11,158
1256.09,196
1254.89,169
1254.92,179
1253.73,175
1253.7,135
1253.75,161
1252.4,156
1252.41,177
1251.28,154
1251.24,158
1251.25,177
1250.02,161
1250.01,159
1248.77,176
1248.77,160
1248.75,175
1247.57,174
1247.57,158
1246.22,166
1246.23,170
1246.24,134
1244.97,146
1245.02,178
1243.79,167
1243.79,153
1242.59,147
1242.57,163
1242.58,186
1241.38,153
1241.36,180
1240.17,158
1240.17,136
1240.15,199
1238.96,158
1238.98,168
1237.74,167
1237.77,155
1237.76,167
1236.54,189
1236.57,150
1235.33,205
1235.32,190
1235.35,197
1234.12,163
1234.12,195
1232.9,183
1232.88,176
1231.73,130
1231.73,174
1231.72,171
1230.54,197
1230.54,171
1229.31,157
1229.33,176
1229.32,159
1228.13,161
1228.12,195
1226.88,151
1226.9,144
1226.92,169
1225.7,140
1225.68,187
1224.53,195
1224.52,183
1224.52,163
1223.35,188
1223.32,190
1222.1,180
1222.1,174
1220.87,196
1220.9,167
1220.9,198
1219.7,166
1219.72,192
1218.49,177
1218.49,164
1218.51,171
1217.28,179
1217.29,154
1216.11,192
1216.06,179
1216.09,173
1214.91,155
1214.87,195
1213.66,147
1213.65,180
1212.47,181
1212.49,167
1212.49,185
1211.25,196
1211.27,195
1210.07,190
1210.07,186
1210.08,194
1208.85,194
1208.86,201
1207.64,221
1207.62,182
1207.63,221
1206.43,175
1206.41,193
1205.25,154
1205.25,175
1205.22,202
1204.02,226
1204.03,154
1202.82,214
1202.82,191
1201.6,206
1201.58,195
1201.59,162
1200.41,187
1200.41,192
1199.19,235
1199.19,218
1199.18,193
1198.01,307
1198.0,315
1196.76,269
1196.78,255
1196.76,254
1195.61,210
1195.6,219
1194.36,200
1194.38,204
1194.36,208
1193.18,208
1193.2,201
1191.96,208
1191.95,240
1190.81,208
1190.79,192
1190.78,260
1189.58,197
1189.55,223
1188.35,196
1188.38,201
1188.36,223
1187.1,190
1187.12,232
1185.9,200
1185.91,214
1185.89,212
1184.67,182
1184.66,200
1183.47,228
1183.44,232
1183.46,219
1182.23,205
1182.22,225
1181.03,225
1181.02,234
1179.76,209
1179.78,240
1179.77,230
1178.57,201
1178.57,225
1177.33,205
1177.36,248
1177.37,220
1176.17,229
1176.2,216
1174.95,261
1174.92,229
1174.95,222
1173.76,176
1173.74,200
1172.51,201
1172.49,203
1172.47,218
1171.34,213
1171.33,273
1170.06,176
1170.05,220
1168.85,189
1168.83,218
1168.86,210
1167.58,267
1167.58,217
1166.4,210
1166.4,235
1166.41,211
1165.2,229
1165.18,230
1164.03,225
1164.0,253
1164.0,219
1162.79,185
1162.77,220
1161.59,221
1161.6,189
1160.36,261
1160.37,222
1160.41,310
1159.2,228
1159.22,201
1157.97,207
1157.97,201
1158.0,229
1156.81,214
1156.8,220
1155.61,240
1155.6,235
1155.59,217
1154.38,247
1154.38,253
1153.17,232
1153.21,251
1153.19,218
1151.98,211
1151.98,204
1150.79,239
1150.77,247
1149.59,232
1149.56,239
1149.54,222
1148.36,261
1148.34,232
1147.15,238
1147.13,246
1147.15,216
1145.96,207
1145.96,265
1144.74,187
1144.72,205
1144.72,243
1143.53,200
1143.54,227
1142.35,230
1142.32,238
1142.33,229
1141.17,205
1141.11,247
1139.95,255
1139.93,229
1138.71,260
1138.76,239
1138.74,273
1137.5,314
1137.53,253
1136.33,229
1136.31,219
1136.36,217
1135.1,234
1135.11,209
1133.95,246
1133.93,254
1133.93,233
1132.72,258
1132.73,215
1131.52,203
1131.5,225
1131.5,240
1130.31,259
1130.29,244
1129.07,266
1129.09,240
1127.85,283
1127.84,253
1127.86,256
1126.67,220
1126.68,250
1125.5,243
1125.45,253
1125.45,238
1124.26,199
1124.23,215
1123.05,269
1123.05,242
1123.03,236
1121.85,262
1121.86,221
1120.63,241
1120.64,250
1119.45,256
1119.42,290
1119.44,229
1118.24,253
1118.22,226
1117.05,247
1117.05,236
1117.01,213
1115.85,274
1115.85,290
1114.63,236
1114.64,226
1114.63,265
1113.41,196
1113.44,243
1112.23,255
1112.2,233
1112.23,253
1111.04,262
1111.03,253
1109.81,270
1109.81,261
1108.7,267
1108.71,286
1108.71,235
1107.56,246
1107.56,260
1106.43,286
1106.43,272
1106.44,237
1105.24,274
1105.23,308
1104.09,222
1104.1,283
1104.09,251
1102.93,325
1102.94,259
1101.81,234
1101.82,218
1101.8,255
1100.61,237
1100.6,286
1099.41,233
1099.42,250
1098.23,257
1098.22,279
1098.21,280
1097.06,264
1097.05,340
1095.78,290
1095.81,280
1095.78,274
1094.54,276
1094.55,280
1093.36,249
1093.33,255
1093.37,336
1092.08,245
1092.09,247
1090.92,282
1090.89,299
1090.92,273
1089.65,244
1089.61,287
1088.45,305
1088.44,306
1087.21,287
1087.22,252
1087.21,296
1086.01,326
1086.02,267
1084.79,321
1084.78,318
1084.79,338
1083.62,291
1083.59,263
1082.4,315
1082.4,304
1082.38,231
1081.24,334
1081.22,289
1079.97,308
1080.0,262
1078.79,286
1078.78,285
1078.81,243
1077.61,343
1077.58,282
1076.41,327
1076.41,251
1076.4,291
1075.2,375
1075.2,316
1073.98,290
1074.03,274
1074.01,293
1072.77,306
1072.78,272
1071.59,317
1071.57,316
1071.59,299
1070.35,286
1070.35,318
1069.16,336
1069.16,287
1067.92,323
1067.95,305
1067.95,346
1066.73,326
1066.77,339
1065.54,327
1065.55,308
1065.55,342
1064.35,313
1064.34,363
1063.11,341
1063.11,301
1063.12,359
1061.93,319
1061.92,348
1060.73,304
1060.74,326
1060.72,330
1059.53,336
1059.54,289
1058.36,304
1058.36,348
1057.14,326
1057.12,337
1057.14,302
1055.94,300
1055.92,328
1054.74,332
1054.73,344
1054.71,325
1053.52,307
1053.52,361
1052.32,277
1052.33,331
1052.3,322
1051.09,323
1051.09,313
1049.86,313
1049.85,365
1049.88,335
1048.64,318
1048.63,318
1047.47,300
1047.43,298
1046.23,344
1046.28,365
1046.27,344
1045.05,304
1045.06,339
1043.85,361
1043.83,337
1043.86,386
1042.63,375
1042.63,327
1041.44,347
1041.43,361
1041.44,330
1040.25,343
1040.2,366
1039.04,363
1039.08,391
1039.05,334
1037.82,372
1037.84,313
1036.64,418
1036.64,398
1035.44,344
1035.42,389
1035.43,334
1034.24,368
1034.21,327
1033.01,367
1033.03,335
1032.99,359
1031.83,376
1031.81,410
1030.54,352
1030.57,398
1030.56,406
1029.36,377
1029.37,427
1028.11,396
1028.1,337
1026.92,409
1026.91,341
1026.88,400
1025.68,377
1025.7,385
1024.43,442
1024.45,365
1024.44,361
1023.21,402
1023.24,419
1022.02,388
1022.01,384
1022.04,430
1020.78,416
1020.79,403
1019.66,341
1019.65,405
1019.66,402
1018.41,428
1018.37,367
1017.19,417
1017.21,458
1015.94,360
1015.95,365
1015.99,414
1014.76,377
1014.79,437
1013.56,391
1013.53,409
1013.56,433
1012.31,442
1012.28,398
1011.07,406
1011.07,397
1011.06,408
1009.88,424
1009.87,414
1008.62,410
1008.65,375
1008.68,435
1007.44,391
1007.45,426
1006.3,423
1006.25,366
1005.05,382
1005.05,401
1005.04,412
1003.89,434
1003.88,379
1002.61,408
1002.65,437
1002.65,404
1001.46,470
1001.48,395
1000.29,414
1000.26,424
1000.27,455
999.1,440
999.06,426
997.87,384
997.84,439
997.86,457
996.69,404
996.66,414
995.44,387
995.47,432
994.26,459
994.24,411
994.26,450
993.04,393
993.04,403
991.85,386
991.82,385
991.8,444
990.62,502
990.6,463
989.38,473
989.41,425
989.41,444
988.19,477
988.22,451
986.99,417
986.97,478
985.81,395
985.79,470
985.78,395
984.59,438
984.58,466
983.42,448
983.43,479
983.41,424
982.18,398
982.21,478
981.03,402
981.02,496
981.03,463
979.87,491
979.83,476
978.57,463
978.57,440
978.58,484
977.37,473
977.4,481
976.19,484
976.18,459
974.96,492
974.95,471
974.94,484
973.79,429
973.75,416
972.53,539
972.56,462
972.53,419
971.32,458
971.35,493
970.14,437
970.16,470
970.17,484
968.96,531
968.95,426
967.78,473
967.75,455
967.74,489
966.55,496
966.53,499
965.33,494
965.37,523
964.14,617
964.12,550
964.13,518
962.93,541
962.93,561
961.77,503
961.73,586
961.74,505
960.57,510
960.53,491
959.33,581
959.35,519
959.34,542
958.16,557
958.16,561
956.89,556
956.94,665
956.94,630
955.7,835
955.75,955
954.52,1045
954.51,1122
953.31,986
953.29,980
953.28,1004
952.03,670
952.03,611
950.79,575
950.82,601
950.82,584
949.57,568
949.61,564
948.38,598
948.37,520
948.41,597
947.16,627
947.15,631
945.93,583
945.92,555
944.69,647
944.72,632
944.68,676
943.5,639
943.51,645
942.32,658
942.32,627
942.33,626
941.1,722
941.14,664
939.85,651
939.86,691
939.87,750
938.66,684
938.64,715
937.41,738
937.41,782
937.39,727
936.16,775
936.15,836
934.95,789
935.0,741
933.68,765
933.67,778
933.7,776
932.46,757
932.46,789
931.29,790
931.26,764
931.27,802
930.08,765
930.04,827
928.86,750
928.88,808
928.83,711
927.62,717
927.64,715
926.42,757
926.44,758
926.45,760
925.24,793
925.25,712
924.05,714
924.02,681
922.85,804
922.86,824
922.84,846
921.68,778
921.66,834
920.41,832
920.45,858
920.43,806
919.23,737
919.26,917
918.02,908
918.0,857
918.03,861
916.81,864
916.8,889
915.65,1024
915.62,984
915.61,1030
914.43,968
914.4,1034
913.19,981
913.21,876
912.0,851
912.01,897
912.0,903
910.78,925
910.8,889
909.61,950
909.59,924
909.6,836
908.41,847
908.39,816
907.17,831
907.18,836
907.16,875
905.96,827
905.97,790
904.75,902
904.75,828
903.58,843
903.57,799
903.57,862
902.42,734
902.38,878
901.16,835
901.19,836
901.13,763
899.99,879
899.98,866
898.72,843
898.74,751
898.73,877
897.52,888
897.57,857
896.35,811
896.33,874
896.34,851
895.14,892
895.13,933
893.88,847
893.87,803
892.68,794
892.69,804
892.69,805
891.46,896
891.5,908
890.31,901
890.3,853
890.3,804
889.04,892
889.07,803
887.86,829
887.86,882
887.86,788
886.68,783
886.65,809
885.47,864
885.48,827
885.47,820
884.3,901
884.29,847
883.1,872
883.11,830
881.89,837
881.87,822
881.9,824
880.67,797
880.63,809
879.49,842
879.48,884
879.47,818
878.27,840
878.25,852
877.05,790
877.06,802
877.07,904
875.85,837
875.89,820
874.63,799
874.61,752
874.63,823
873.38,732
873.38,813
872.2,857
872.15,776
870.94,785
870.96,959
870.93,801
869.74,752
869.74,871
868.5,852
868.51,826
868.51,804
867.26,839
867.29,788
866.08,801
866.05,818
866.06,873
864.91,777
864.9,810
863.69,817
863.69,841
863.67,835
862.5,813
862.51,879
861.21,878
861.23,885
860.02,881
860.02,947
860.04,896
858.77,831
858.79,783
857.61,850
857.59,866
857.6,895
856.37,821
856.32,859
855.14,851
855.16,832
855.11,923
853.9,832
853.9,891
852.72,912
852.74,845
851.47,860
851.43,882
851.47,872
850.32,870
850.3,933
849.07,892
849.04,861
849.03,860
847.93,873
847.92,930
846.64,922
846.67,842
846.68,889
845.54,836
845.55,862
844.28,983
844.26,942
844.3,937
843.12,881
843.1,936
841.87,970
841.87,842
840.69,922
840.7,956
840.69,930
839.45,1019
839.48,931
838.29,1014
838.28,995
838.3,1019
837.07,1028
837.06,1005
835.88,1035
835.87,1048
835.86,1045
